"Time (s)","X (m/s2)","Y (m/s2)","Z (m/s2)"
2.918433500E0,3.119962006E0,-1.552930664E1,-6.464606781E0
2.928395500E0,2.151925049E0,-1.632744690E1,-7.293433228E0
2.938356500E0,1.270557861E0,-1.746253647E1,-6.771318970E0
2.948318500E0,5.891748047E-1,-1.843850693E1,-6.220913544E0
2.958280500E0,1.890568542E-1,-1.895358582E1,-5.497917023E0
2.968241500E0,1.107696533E-1,-1.898112854E1,-4.911436615E0
2.978203500E0,3.775149536E-1,-1.859448257E1,-4.263134766E0
2.988165500E0,9.925859070E-1,-1.785831345E1,-4.044738922E0
2.998126500E0,1.353186035E0,-1.666619247E1,-4.641098785E0
3.008088500E0,1.105600891E0,-1.527753021E1,-5.227579193E0
3.018050500E0,4.379891968E-1,-1.343860428E1,-5.366939392E0
3.028011500E0,4.445755005E-1,-1.143861328E1,-5.116659851E0
3.037973500E0,1.227746887E0,-9.918224945E0,-5.980064392E0
3.047935500E0,1.520987091E0,-8.341853027E0,-6.181545410E0
3.057897500E0,1.726060638E0,-6.575077057E0,-4.976401520E0
3.067858500E0,2.058519287E0,-4.733307037E0,-3.719764709E0
3.077820500E0,2.149230652E0,-2.976859589E0,-2.950963440E0
3.087782500E0,1.999841309E0,-1.414857788E0,-2.311642914E0
3.097743500E0,1.705553284E0,-2.766247559E-1,-1.593735809E0
3.107705500E0,1.449286194E0,4.613406372E-1,-8.140072632E-1
3.117667375E0,6.605763245E-1,5.752537537E-1,-2.204914856E-1
3.127628375E0,1.234931946E-1,4.813989258E-1,3.365002441E-1
3.137590375E0,-1.407073975E-2,3.255729675E-1,4.941224670E-1
3.147552375E0,-1.014889526E-1,2.264790344E-1,1.799258423E-1
3.157513375E0,-1.329235840E-1,3.068618774E-1,-5.436694336E-1
3.167475375E0,-2.068698120E-1,6.740483093E-1,-2.145937500E0
3.177437375E0,-4.162843323E-1,9.568103027E-1,-3.100352783E0
3.187399375E0,-5.956114197E-1,1.084045715E0,-3.072211304E0
3.197360375E0,-6.471043396E-1,1.102906494E0,-2.179916840E0
3.207322375E0,-6.909631348E-1,1.115031281E0,-9.819580078E-1
3.217284375E0,-7.063810730E-1,1.084644470E0,-4.146377563E-2
3.227245375E0,-5.328918457E-1,9.360035706E-1,8.303233337E-1
3.237207375E0,-1.531315613E-1,7.071295166E-1,1.434766388E0
3.247169375E0,-9.026229858E-2,4.504133606E-1,1.257235565E0
3.257130375E0,-1.498384094E-1,3.013233948E-1,8.291258240E-1
3.267092375E0,-1.342707825E-1,2.573149109E-1,5.592370605E-1
3.277054375E0,-1.245410156E-1,2.225871277E-1,3.911366272E-1
3.287016375E0,-8.637039185E-2,2.014810181E-1,2.592608643E-1
3.296977375E0,-2.215393066E-2,1.805245972E-1,1.115180969E-1
3.306939375E0,1.047821045E-1,1.136137390E-1,-3.353027344E-2
3.316901375E0,2.143542480E-1,-1.347198486E-2,-1.974394226E-1
3.326862375E0,5.447172546E-1,-5.233117676E-1,-2.854414215E0
3.336824375E0,9.307644653E-1,-1.889520721E0,-7.063960419E0
3.346786375E0,8.286767578E-1,-2.401306458E0,-4.669539642E0
3.356747375E0,5.993536377E-1,-1.895508270E0,-3.733236694E-1
3.366709375E0,4.522096252E-1,-1.646426239E0,9.642947388E-1
